ble_id,mcsp,field,unit,passive_stream,ble_request_result,status,answered_as,sweep_2026_08_12,usb_2026_08_21
80-81,0x0081,Battery.SERIAL_NUMBER,,yes,value,,READ_RESPONSE,value,value
80-82,0x0082,Battery.PART_NUMBER,,yes,value,,READ_RESPONSE,value,value
80-83,0x0083,Battery.PRODUCT_CODE,,yes,value,,READ_RESPONSE,value,value
80-84,0x0084,Battery.HARDWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
80-85,0x0085,Battery.HARDWARE_SOFTWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
80-86,0x0086,Battery.SOFTWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
80-87,0x0087,Battery.BOOTLOADER_SOFTWARE_VERSION,,yes,value,,READ_RESPONSE,value,value
80-88,0x0088,Battery.STATE_OF_CHARGE,%,yes,value,,READ_RESPONSE,value,value
80-89,0x0089,Battery.CHARGER_CONNECTED,,,supported-empty,,READ_RESPONSE,supported-empty,value
80-8A,0x008A,Battery.CHARGING_ACTIVE,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
80-8B,0x008B,Battery.PRESENT_PACK_TEMPERATURE,°C,yes,value,,READ_RESPONSE,value,value
80-8C,0x008C,Battery.PRESENT_CELL_VOLTAGE,V,,not-available,DENIED,READ_RESPONSE,refused,value
80-8D,0x008D,Battery.REQUEST_SHUTDOWN,,,command (not tested),,,,DENIED
80-8E,0x008E,Battery.PREPARE_SHUTDOWN,,yes,supported-empty,,READ_RESPONSE,supported-empty,DENIED
80-8F,0x008F,Battery.NO_SHUTDOWN,,,command (not tested),,,,DENIED
80-90,0x0090,Battery.WAKEUP_REASON,,,command (not tested),DENIED,READ_RESPONSE,refused,DENIED
80-91,0x0091,Battery.REMAINING_ENERGY_FOR_RIDER,Wh,yes,value,,READ_RESPONSE,value,value
80-92,0x0092,Battery.REMAINING_ENERGY,Wh,yes,value,,READ_RESPONSE,value,value
80-93,0x0093,Battery.MAXIMUM_ALLOWED_DISCHARGE_CURRENT,A,,value,,READ_RESPONSE,value,DENIED
80-94,0x0094,Battery.PRESENT_DISCHARGE_CURRENT,A,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-95,0x0095,Battery.REMAINING_CHARGING_TIME,min,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-96,0x0096,Battery.NUMBER_OF_FULL_CHARGE_CYCLES,,yes,value,,READ_RESPONSE,value,value
80-97,0x0097,Battery.COMPONENT_LOCK_CONFIGURATION,,yes,value,,READ_RESPONSE,value,value
80-98,0x0098,Battery.COMPONENT_LOCKED,,yes,supported-empty,,SUBSCRIBE_RESPONSE,supported-empty,value
80-99,0x0099,Battery.COMPONENT_DEACTIVATION_PROOF,,,command (not tested),,,,value
80-9A,0x009A,Battery.COMPONENT_DEACTIVATION_ENABLED,,,command (not tested),,,,value
80-9B,0x009B,Battery.PRODUCT_NAME,,yes,value,,READ_RESPONSE,value,value
80-9C,0x009C,Battery.DELIVERED_WH_OVER_LIFETIME,Wh,yes,value,,READ_RESPONSE,value,value
80-9D,0x009D,Battery.DURATION_IN_THERMAL_PROTECTION,s,,not-available,DENIED,READ_RESPONSE,refused,value
80-9E,0x009E,Battery.LAST_END_OF_CHARGE_VOLTAGE,V,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-9F,0x009F,Battery.MAXIMUM_CHARGING_CURRENT,A,,not-available,DENIED,READ_RESPONSE,refused,value
80-A0,0x00A0,Battery.MAXIMUM_PACK_TEMPERATURE,°C,,not-available,DENIED,READ_RESPONSE,refused,value
80-A1,0x00A1,Battery.MINIMUM_PACK_TEMPERATURE,°C,,not-available,DENIED,READ_RESPONSE,refused,value
80-A2,0x00A2,Battery.SO_C_LOWER_LIMIT,%,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-A3,0x00A3,Battery.SO_C_UPPER_LIMIT,%,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-A4,0x00A4,Battery.MANUFACTURING_DATE,,yes,value,,READ_RESPONSE,value,value
80-A5,0x00A5,Battery.IS_SAMPLE_SOFTWARE,,,not-available,DENIED,READ_RESPONSE,refused,value
80-A6,0x00A6,Battery.IN_SOFTWARE_INSTALLATION_STATE,,,command (not tested),,,,value
80-A7,0x00A7,Battery.MAXIMUM_ALLOWED_REVERSE_CURRENT,A,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-A8,0x00A8,Battery.EXECUTE_INFORMATION_MANAGER_COMMAND_RIDER,,yes,command (not tested),,RPC_RESPONSE,value,DENIED
80-A9,0x00A9,Battery.EXECUTE_INFORMATION_MANAGER_COMMAND_IBD,,,command (not tested),,,,value
80-AA,0x00AA,Battery.EXECUTE_INFORMATION_MANAGER_COMMAND_OEM,,,command (not tested),,,,value
80-AB,0x00AB,Battery.EXECUTE_INFORMATION_MANAGER_COMMAND_SP,,,command (not tested),,,,value
80-AC,0x00AC,Battery.EXECUTE_INFORMATION_MANAGER_COMMAND_BOSCH,,,command (not tested),,,,value
80-AD,0x00AD,Battery.REPORT_ISSUE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-AE,0x00AE,Battery.ISSUE_EVENT,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-AF,0x00AF,Battery.ISSUE_VISUALIZATION_EVENT,,yes,not-available,,SUBSCRIBE_RESPONSE,supported-empty,DENIED
80-B0,0x00B0,Battery.NUMBER_OF_FULL_CHARGE_CYCLES_ON_BIKE,cycles,yes,value,,READ_RESPONSE,value,DENIED
80-B1,0x00B1,Battery.NUMBER_OF_FULL_CHARGE_CYCLES_OFF_BIKE,cycles,yes,supported-empty,,READ_RESPONSE,supported-empty,DENIED
80-B4,0x00B4,Battery.TOTAL_ENERGY,Wh,yes,value,,READ_RESPONSE,value,value
80-B6,0x00B6,Battery.LIGHT_RESERVE_STATE,,yes,supported-empty,,READ_RESPONSE,supported-empty,DENIED
80-B7,0x00B7,Battery.TIME_IN_BALANCING,s,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-B8,0x00B8,Battery.ENABLE_LED_TEST_MODE,,,command (not tested),,,,value
80-B9,0x00B9,Battery.LED_TEST_PATTERN_ON,,,not-available,DENIED,READ_RESPONSE,refused,value
80-BA,0x00BA,Battery.ENABLE_BUTTON_TEST_MODE,,,command (not tested),,,,value
80-BB,0x00BB,Battery.BUTTON_PRESSED,,,not-available,DENIED,READ_RESPONSE,refused,value
80-BC,0x00BC,Battery.SYSTEM_STATE_OF_CHARGE_FOR_RIDER,%,yes,value,,READ_RESPONSE,value,DENIED
80-BD,0x00BD,Battery.DATA_MODEL_VERSION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-BE,0x00BE,Battery.FEATURE_PROPERTIES_RELEASE1,,yes,value,,READ_RESPONSE,value,value
80-BF,0x00BF,Battery.SERVICE_CHARGE_STATE,,,command (not tested),,,,value
80-C0,0x00C0,Battery.REQUEST_SERVICE_CHARGE,,,command (not tested),,,,DENIED
80-C1,0x00C1,Battery.DISCHARGE_DURATION,s,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-C2,0x00C2,Battery.FEATURE_PROPERTIES_RELEASE4,,yes,value,,READ_RESPONSE,value,DENIED
80-C3,0x00C3,Battery.PREVENT_SHUTDOWN,,,command (not tested),,,,DENIED
80-C4,0x00C4,Battery.INSTANCE_CHARGING_ACTIVE,,yes,supported-empty,,READ_RESPONSE,supported-empty,DENIED
80-C5,0x00C5,Battery.INSTANCE_REMAINING_ENERGY_FOR_RIDER,Wh,yes,value,,READ_RESPONSE,value,DENIED
80-C6,0x00C6,Battery.INSTANCE_MAXIMUM_ALLOWED_DISCHARGE_CURRENT,A,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-C7,0x00C7,Battery.INSTANCE_MAXIMUM_ALLOWED_REVERSE_CURRENT,A,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-C8,0x00C8,Battery.INSTANCE_PRESENT_DISCHARGE_CURRENT,A,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-C9,0x00C9,Battery.INSTANCE_LIGHT_RESERVE_STATE,,yes,supported-empty,,SUBSCRIBE_RESPONSE,supported-empty,DENIED
80-CA,0x00CA,Battery.INSTANCE_STATE_OF_CHARGE_FOR_RIDER,%,yes,value,,READ_RESPONSE,value,DENIED
80-CB,0x00CB,Battery.INSTANCE_MAXIMUM_ALLOWED_CHARGE_CURRENT,A,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-CC,0x00CC,Battery.ALL_ISSUE_VISUALIZATION_EVENTS,,,supported-empty,,READ_RESPONSE,supported-empty,DENIED
80-CD,0x00CD,Battery.BATTERY_STATIC_FEATURE_PROPERTIES,,yes,value,,READ_RESPONSE,value,DENIED
80-CE,0x00CE,Battery.EASTER_EGG,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-D0,0x00D0,Battery.DUAL_BATTERY_MODE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-D1,0x00D1,Battery.SHUTDOWN_STATE,,,command (not tested),,,,DENIED
80-D2,0x00D2,Battery.PRESENT_FET_TEMPERATURE,°C,,value,,READ_RESPONSE,value,value
80-D3,0x00D3,Battery.GET_TIME_UNTIL_DERATING,s,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-D5,0x00D5,Battery.CONTINUOUS_PACK_POWER,W,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-D7,0x00D7,Battery.DELIVERED_AH_OVER_LIFETIME,Ah,yes,value,,READ_RESPONSE,value,value
80-D8,0x00D8,Battery.STATE_OF_HEALTH,%,yes,value,,READ_RESPONSE,value,value
80-D9,0x00D9,Battery.SYSTEM_TOTAL_ENERGY_FOR_RIDER,Wh,yes,value,,READ_RESPONSE,value,DENIED
80-DA,0x00DA,Battery.INSTANCE_ENERGY_RESERVE,Wh,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-DB,0x00DB,Battery.UNLOCK_COMPONENT,,,not-available,UNSUPPORTED,READ_RESPONSE,refused,DENIED
80-DC,0x00DC,Battery.SELF_DISCHARGING_RATE,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
80-DD,0x00DD,Battery.LOCK_ACCESS_CERTIFICATE_CHAIN,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-E0,0x00E0,Battery.DEVICE_CERTIFICATE,,,not-available,DENIED,READ_RESPONSE,refused,value
80-E1,0x00E1,Battery.HARMFUL_EVENTS,,yes,supported-empty,,READ_RESPONSE,supported-empty,value
80-E2,0x00E2,Battery.TOTAL_CAPACITY,Ah,yes,value,,READ_RESPONSE,value,value
80-E3,0x00E3,Battery.BOOTMANAGER_SOFTWARE_VERSION,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-E4,0x00E4,Battery.CHARGING_INFORMATION,,,command (not tested),,,,timeout
80-E5,0x00E5,Battery.CHARGING_SETTINGS,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
80-E6,0x00E6,Battery.RESET_SETTINGS,,,command (not tested),,,,DENIED
80-E7,0x00E7,Battery.OEM_COMPONENT_LOCK_ENABLE,,,command (not tested),,,,DENIED
82-81,0x0281,Battery2.SERIAL_NUMBER,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-82,0x0282,Battery2.PART_NUMBER,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-83,0x0283,Battery2.PRODUCT_CODE,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-84,0x0284,Battery2.HARDWARE_VERSION,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-85,0x0285,Battery2.HARDWARE_SOFTWARE_VERSION,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-86,0x0286,Battery2.SOFTWARE_VERSION,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-87,0x0287,Battery2.BOOTLOADER_SOFTWARE_VERSION,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-88,0x0288,Battery2.STATE_OF_CHARGE,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-8B,0x028B,Battery2.PRESENT_PACK_TEMPERATURE,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-8C,0x028C,Battery2.PRESENT_CELL_VOLTAGE,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-92,0x0292,Battery2.REMAINING_ENERGY,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-96,0x0296,Battery2.NUMBER_OF_FULL_CHARGE_CYCLES,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-97,0x0297,Battery2.COMPONENT_LOCK_CONFIGURATION,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-98,0x0298,Battery2.COMPONENT_LOCKED,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-99,0x0299,Battery2.COMPONENT_DEACTIVATION_PROOF,,,command (not tested),,,,NO_ROUTE_FOUND
82-9A,0x029A,Battery2.COMPONENT_DEACTIVATION_ENABLED,,,command (not tested),,,,NO_ROUTE_FOUND
82-9B,0x029B,Battery2.PRODUCT_NAME,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-9C,0x029C,Battery2.DELIVERED_WH_OVER_LIFETIME,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-9D,0x029D,Battery2.DURATION_IN_THERMAL_PROTECTION,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-9E,0x029E,Battery2.LAST_END_OF_CHARGE_VOLTAGE,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
82-9F,0x029F,Battery2.MAXIMUM_CHARGING_CURRENT,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-A0,0x02A0,Battery2.MAXIMUM_PACK_TEMPERATURE,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-A1,0x02A1,Battery2.MINIMUM_PACK_TEMPERATURE,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-A2,0x02A2,Battery2.SO_C_LOWER_LIMIT,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
82-A3,0x02A3,Battery2.SO_C_UPPER_LIMIT,,,not-available,DENIED,READ_RESPONSE,refused,DENIED
82-A4,0x02A4,Battery2.MANUFACTURING_DATE,,,not-available,NO_ROUTE_FOUND,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-A5,0x02A5,Battery2.IS_SAMPLE_SOFTWARE,,,not-available,DENIED,READ_RESPONSE,refused,NO_ROUTE_FOUND
82-A6,0x02A6,Battery2.IN_SOFTWARE_INSTALLATION_STATE,,,command (not tested),,,,NO_ROUTE_FOUND
82-A8,0x02A8,Battery2.EXECUTE_INFORMATION_MANAGER_COMMAND_RIDER,,,command (not tested),,,,DENIED
82-A9,0x02A9,Battery2.EXECUTE_INFORMATION_MANAGER_COMMAND_IBD,,,command (not tested),,,,value
